,Year,Reciever,Grant size (DKK),Description,Institution,Grant Number,Project Category
867,"År
2021",Marc Jacobsen,"Beløb
DKK 1,382,710",Denmark and Greenland in Arctic politics: How external attention may change their internal relationship,"Institution
University of Cambridge",868,Reintegration Fellowships
868,"År
2021",Jacob Palle Bliddal Mortensen,"Beløb
DKK 4,920,606",Computing Antiquity: Computational Research in Ancient Text Corpora,"Institution
Aarhus University",869,Semper Ardens: Accelerate
869,"År
2021",Dietrich Jung,"Beløb
DKK 1,022,000","Islamic Modernities in World Society. The Rise, Spread and Fragmentation of a Hegemonic Idea","Institution
University of Southern Denmark",870,Monograph Fellowships
870,"År
2021",Kirsten Jensen,"Beløb
DKK 4,914,007","Designing Disorder: Structure design, synthesis and characterization of nanostructured and amorphous energy materials","Institution
University of Copenhagen",871,Semper Ardens: Accelerate
871,"År
2021",Daniel Bischof,"Beløb
DKK 4,426,844",Democratic Norms: What they are and how they matter,"Institution
Aarhus University",872,Semper Ardens: Accelerate
872,"År
2021",Michelle Pace,"Beløb
DKK 913,482",Un-Welcome To Denmark: The paradigm shift and refugee integration,"Institution
Roskilde University",873,Monograph Fellowships
873,"År
2021",Felicity Davis,"Beløb
DKK 5,188,922",Infrastructure for rapid multiscale imaging of thick biological samples,"Institution
Aarhus University",874,Research Infrastructure
874,"År
2021",Nicolai Krejberg Knudsen,"Beløb
DKK 1,174,397",Reactive Attitudes and Group Evaluation - The Role of Emotions in Group Responsibility,"Institution
University of Oxford",875,Reintegration Fellowships
875,"År
2021",Jacob Giehm Mikkelsen,"Beløb
DKK 5,776,310",Fluorescence activated cell sorting in genome-scale CRISPR screening for dissection of biological pathways and intracellular signaling circuits,"Institution
Aarhus University",876,Research Infrastructure
876,"År
2021",Antoinette Fage-Butler,"Beløb
DKK 730,664",Risk and responsibility in an age of global threat,"Institution
Aarhus University",877,Monograph Fellowships
877,"År
2021",Louise Jane Phillips,"Beløb
DKK 1,074,441",It sounds so democratic but...: A critical approach to collaborative research,"Institution
Roskilde University",878,Monograph Fellowships
878,"År
2021",Per Mouritsen,"Beløb
DKK 375,400",Integration Trajectories of Immigrant Descendants in the Educational System: A longitudinal study of transition from public schools and Muslim free schools to upper secondary education,"Institution
Aarhus University",879,Research Infrastructure
879,"År
2021",Tore Rye Andersen,"Beløb
DKK 764,430",Planetary Pynchon,"Institution
Aarhus University",880,Monograph Fellowships
880,"År
2021",Luise Ørsted Brandt,"Beløb
DKK 296,938",Involving a new generation in the production of knowledge on their own historical background using a protein-based approach on archaeological material,"Institution
University of Copenhagen",881,Research Infrastructure
881,"År
2021",Kasper Elm Heintz,"Beløb
DKK 1,237,596",FRB origins through host galaxy studies - FRB-OASIS,"Institution
University of Iceland",882,Reintegration Fellowships
882,"År
2021",Helene Scott-Fordsmand,"Beløb
DKK 700,000","Diagnosing Bodies in a Messy Reality: an ethnographic philosophy of scientific taxonomy, medical practices and epistemic iteration","Institution
University of Cambridge",883,Internationalisation Fellowships
883,"År
2021",Steven L. B. Jensen,"Beløb
DKK 743,178",A New Concept of Liberty. Economic and Social Human Rights in 20th Century International Politics,"Institution
The Danish Institute for Human Rights",884,Monograph Fellowships
884,"År
2021",Emil Eiby Seidenfaden,"Beløb
DKK 1,269,643","Imagining Post-war Journalism: Reflections of Scandinavian Foreign Affairs Journalists, 1945-1948","Institution
University of Oxford",885,Reintegration Fellowships
885,"År
2021",Sune Gregersen,"Beløb
DKK 700,000",A grammar of Wangerooge Frisian: A lost language of Northern Europe,"Institution
Christian-Albrechts-Universität zu Kiel",886,Internationalisation Fellowships
886,"År
2021",Søren M. Sindbæk,"Beløb
DKK 821,774",Northern Emporia. An archaeology of urban networks,"Institution
Aarhus University",887,Monograph Fellowships
887,"År
2021",Marit-Solveig L.S. Seidenkrantz,"Beløb
DKK 230,241",GEMAX: a sediment corer for fully reproducible and interdisciplinary sampling and analyses,"Institution
Aarhus University",888,Research Infrastructure
888,"År
2021",Sophie Emma Mikkelsen,"Beløb
DKK 700,000",Structure of noncommutative fibre bundles,Institution,889,Internationalisation Fellowships
889,"År
2021",Marc Hamilton Folkmann Garner,"Beløb
DKK 970,000",Excited-state Violations of Hunds Rule in Molecular Emitters,Institution,890,Internationalisation Fellowships
890,"År
2021",Pål Røren,"Beløb
DKK 850,000","Gatekeeping the Great Power Club, GREATKEEP","Institution
Department of Politics and International Studies, University of Cambridge",891,Internationalisation Fellowships
891,"År
2021",Marianne Pade,"Beløb
DKK 842,942",The origins of the Modern Humanities,"Institution
Aarhus University",892,Monograph Fellowships
892,"År
2021",thomas søbirk Petersen,"Beløb
DKK 1,029,128","Ethics, Crime Prevention, and the City","Institution
Roskilde University",893,Monograph Fellowships
893,"År
2021",Kate Lykke Lambertsen,"Beløb
DKK 1,315,000","Multiple cell parameter analysis, Neurobiology Research","Institution
University of Southern Denmark",894,Research Infrastructure
894,"År
2021",Tobias Richter,"Beløb
DKK 106,827",Archaeological Imaging and Digitisation Laboratory,"Institution
University of Copenhagen",895,Research Infrastructure
895,"År
2021",Florian Kock,"Beløb
DKK 3,880,565",What is coolness and how can we create it? Understanding coolness and its important implications for business and society,"Institution
Copenhagen Business School",896,Semper Ardens: Accelerate
896,"År
2021",Birthe Hoffmann,"Beløb
DKK 767,675",Between Universalism and Culturalism - Ambivalence as a Style of Thought in Austrian Literature,"Institution
University of Copenhagen",897,Monograph Fellowships
897,"År
2021",Sara Regina Bang-Christensen,"Beløb
DKK 990,385",A novel strategy for early cancer detection utilizing DNA methylation markers,"Institution
National Human Genome Research Institute, National Institutes of Health, USA",898,Internationalisation Fellowships
898,"År
2021",Ian Gardner Bearden,"Beløb
DKK 8,530,116",Hadronic Calorimeter for Forward Physics,"Institution
University of Copenhagen",899,Research Infrastructure
899,"År
2021",Adnan Halim,"Beløb
DKK 4,973,007",Dissection of protein interactions in the context of glycosylation,"Institution
University of Copenhagen",900,Semper Ardens: Accelerate
900,"År
2021",Tabish Khair,"Beløb
DKK 799,582",Literature and Religious Fundamentalism,"Institution
Aarhus University",901,Monograph Fellowships
901,"År
2021",Henrik Lauridsen,"Beløb
DKK 4,975,798",From archives to answers - Quantitative digitization of natural history collections,"Institution
Aarhus University",902,Semper Ardens: Accelerate
902,"År
2021",Peter Heyn Nielsen,"Beløb
DKK 700,000",The legislative impact of cabinet committees,"Institution
University of Oxford",903,Visiting Fellowships at University of Oxford
903,"År
2021",Tom Brughmans,"Beløb
DKK 4,985,304",The Past Social Networks Project. The first open online repository for network data of ancient social relationships,"Institution
Aarhus University",904,Semper Ardens: Accelerate
904,"År
2021",Ann-Katrine Schmidt Nielsen,"Beløb
DKK 700,000",Stories of War and Refuge. Imagining Futures in Afghan Exile Art,"Institution
University of Oslo",905,Internationalisation Fellowships
905,"År
2021",Natasha de Vere,"Beløb
DKK 4,999,278",Greenland plant diversity patterns and pollination networks in a changing Arctic,"Institution
University of Copenhagen",906,Semper Ardens: Accelerate
906,"År
2021",Jiwoong Lee,"Beløb
DKK 4,986,449",Carbon Dioxide Responsive Materials,"Institution
University of Copenhagen",907,Semper Ardens: Accelerate
907,"År
2021",Johannes Bjerva,"Beløb
DKK 5,000,000",Multilingual Modelling for Resource-Poor Languages,"Institution
Aalborg University",908,Semper Ardens: Accelerate
908,"År
2021",Jean-Francois Perrier,"Beløb
DKK 392,975",Theta rhythm potentiates synaptic transmission in CA1 via astrocytes,"Institution
University of Copenhagen",909,Research Infrastructure
909,"År
2021",Poul Nissen,"Beløb
DKK 1,329,070",Mass photometry for structural studies of complex biomolecular assemblies,"Institution
Aarhus University",910,Research Infrastructure
910,"År
2021",Louise Mønster,"Beløb
DKK 710,458",A Danish doctoral dissertation on Henrik Nordbrandts oeuvre,"Institution
Aalborg University",911,Monograph Fellowships
911,"År
2021",Rune Iversen,"Beløb
DKK 4,531,051",A World without Images: Uncovering the absence of figurative representations in Early Neolithic Northern Europe,"Institution
University of Copenhagen",912,Semper Ardens: Accelerate
912,"År
2021",Charlotte Ettrup Christiansen,"Beløb
DKK 850,000",An anthropology of literature and creativity in Iceland,"Institution
Árni Magnússon Institute for Icelandic Studies, University of Iceland",913,Internationalisation Fellowships
913,"År
2021",Nicolas Thibault,"Beløb
DKK 1,487,194","Investigations of sedimentary processes down to the nano-scale: rocks, fossils and modern microbes","Institution
University of Copenhagen",914,Research Infrastructure
914,"År
2021",Christian Brønnum-Hansen,"Beløb
DKK 820,000",Two-loop scattering amplitudes for high precision LHC physics,Institution,915,Internationalisation Fellowships
915,"År
2021",Jens Jørgensen,"Beløb
DKK 708,181",APATHY: The paradoxical power of disengagement in Scandinavian literature,"Institution
Aalborg University",916,Monograph Fellowships
916,"År
2021",Niels Wilde Langballe,"Beløb
DKK 1,158,923",Horcruxology: Distributed Identities and Post-mortem life,"Institution
Aarhus University",917,Reintegration Fellowships
917,"År
2021",Harun Kaygan,"Beløb
DKK 4,033,000",Design as Somatic Expertise: The Users Body and Well-Being in Design Today,"Institution
University of Southern Denmark",918,Semper Ardens: Accelerate
918,"År
2021",Karina Krarup Sand,"Beløb
DKK 4,974,280",Mineral facilitated horizontal gene transfer - a new principle for the evolution of life,"Institution
University of Copenhagen",919,Semper Ardens: Accelerate
919,"År
2021",Christina Wegeberg,"Beløb
DKK 700,000",Photophysics of Iron Complexes: Development of Sustainable Solar Energy Solutions,"Institution
University of Lund, Sweden",920,Internationalisation Fellowships
920,"År
2021",Jeremy Morris,"Beløb
DKK 865,337",Everyday Political Economy in Russia: from Capitalist Realism to a Micropolitics of Desire,"Institution
Aarhus University",921,Monograph Fellowships
921,"År
2021",Jan Kindberg Jacobsen,"Beløb
DKK 580,900",Dansk-italienske udgravninger på Cæsars Forum i Rom 2022,"Institution
Danske Institut i Rom",922,Strategic Grants
922,"År
2021",Judith Gottwein,"Beløb
DKK 840,077",Basic studies of hepatitis C virus particles: Influence of modifications of the envelope glycoproteins altering neutralizing epitope exposure on immunogenicity,"Institution
Copenhagen University Hospital, Amager and Hvidovre",923,Research Infrastructure
923,"År
2021",Olav Hammer,"Beløb
DKK 912,000",Alternative Archaeology: Modern Myths About the Distant Past,"Institution
University of Southern Denmark",924,Monograph Fellowships
924,"År
2021",Bo Dalsgaard,"Beløb
DKK 86,930",Color spectrometers to explore flower and fruit color adaptions across the Caribbean,"Institution
University of Copenhagen",925,Research Infrastructure
925,"År
2021",Janne Karina Flora,"Beløb
DKK 4,684,428",Hunting Life: Explorations of Biosociality in Greenland,"Institution
Aarhus University",926,Semper Ardens: Accelerate
926,"År
2021",Kristine Kabel,"Beløb
DKK 3,578,243",Compulsory writing education. A study on the relation between young people s writing competencies and metalinguistic knowledge in the context of first language education.,"Institution
Aarhus University",927,Semper Ardens: Accelerate
927,"År
2021",David Karlander,"Beløb
DKK 2,106,658",Visions of Progress in Otto Jespersens Linguistics,"Institution
University of Freiburg",928,Strategic Grants
928,"År
2021",Kasper Steen Pedersen,"Beløb
DKK 4,986,078",Zero-Valent Metal-Organic Frameworks for Small Molecule Activation,"Institution
Technical University of Denmark",929,Semper Ardens: Accelerate
929,"År
2021",Morten Tønsberg Limborg,"Beløb
DKK 4,999,981",Epo-Evo: Does the EPigenOme - microbiome axis control adaptive EVOlution?,"Institution
University of Copenhagen",930,Semper Ardens: Accelerate
930,"År
2021",Morten Rasmussen,"Beløb
DKK 830,236","Integration through Law - The History of the European Court of Justice, 1950-1993","Institution
University of Copenhagen",931,Monograph Fellowships
931,"År
2021",Søren Mau,"Beløb
DKK 1,231,624",A Philosophical Anthropology for the Capitalocene,"Institution
University of Copenhagen",932,Reintegration Fellowships
932,"År
2021",Stefan Jacobsen,"Beløb
DKK 4,999,904",JusTiDe: Climate Justice Temporalities in Denmark,"Institution
Roskilde University",933,Semper Ardens: Accelerate
933,"År
2021",Flemming Friborg,"Beløb
DKK 1,831,078","Maecenases of Modernism. Aspects of Private and Public Collecting and Funding for Danish Art Museums, 1875-1935","Institution
Copenhagen Business School",934,Strategic Grants
934,"År
2021",Aslak Kappel Hansen,"Beløb
DKK 700,000","Next Generation Taxonomy, Can high throughput DNA barcoding, machine learning and open data enhance species discovery?","Institution
Museum für Naturkunde, Berlin",935,Internationalisation Fellowships
935,"År
2021",Lise Galal,"Beløb
DKK 879,980",Hverdagsreligion blandt migranter i Danmark. Forandringens flertydighed,"Institution
Roskilde University",936,Monograph Fellowships
936,"År
2021",Kristine Dyrmann,"Beløb
DKK 915,385",Salon Sociability and State Bankruptcy: Women's diplomatic and political spaces in Denmark-Norway and abroad during the Napoleonic Wars - SALONDIPLOMACY,"Institution
University of Oxford",937,Visiting Fellowships at University of Oxford
937,"År
2021",Niels van Berkel,"Beløb
DKK 4,186,913",Algorithmic Explainability for Everyday Citizens,"Institution
Aalborg University",938,Semper Ardens: Accelerate
938,"År
2021",Nanna Bjarnholt,"Beløb
DKK 825,450",Optimizing mass spectrometry imaging for the study of crop plants and plant-microbe interactions,"Institution
University of Copenhagen",939,Research Infrastructure
939,"År
2021",Christian Vium,"Beløb
DKK 695,223",DEPARTED: A longitudinal study on irregular migration from Sub-Saharan Africa to Europe.,"Institution
Aarhus University",940,Monograph Fellowships
940,"År
2021",Katrine Frøkjær Baunvig,"Beløb
DKK 337,514",Computing Community Singing. Establishing Højskolebladet 1876-2020 as a digital corpus,"Institution
Aarhus University",941,Research Infrastructure
