Year	Reciever	Grant size (DKK)	Description	Project Category	Location	Title
Year: 2014	Grantee: Dr. Christina Zielinski	Amount: DKK 500,000	"Presented to Dr. med. Christina Zielinski, research group leader and dermatological fellow, Department of Dermatology and Allergology and Berlin-Brandenburg Center for Regenerative Therapies, Charité University Medicine, Berlin.
Dr. Zielinski’s research focuses on how the body’s immune system protects itself from microbial assault by distinguishing between the body’s own cells and foreign organisms. It examines what happens when the body does not regulate itself in this way and how this affects the development of autoimmune diseases such as psoriasis and multiple sclerosis. Insights gained from these studies are expected to identify molecular cues that can be exploited in order to develop immune modulation therapies."	Grant category: LEO Foundation Awards	Geography: Germany	The LEO Foundation Award 2014 – Silver Award
Year: 2014	Grantee: Dr. Kim B. Jensen	Amount: DKK 1,000,000	"Presented to Ph.D. Kim B. Jensen, associate professor at the Biotech Research and Innovation Centre at the University of Copenhagen.
Dr. Jensen’s research focuses on how the epidermis, the outer layer of the skin, is constantly renewed throughout life in an organised manner by epidermal stem cells. Epidermal stem cells need to be carefully controlled as any imbalance is likely to have devastating consequences. Too little contribution from the stem cells can lead to bleeding ulcers, whereas too much contribution can lead to skin cancer. By examining how stem cells are regulated in the epidermis, Jensen hopes to gain insights into mechanisms responsible for disease development and identify new drugable pathways."	Grant category: LEO Foundation Awards	Geography: Denmark	The LEO Foundation Award 2014 – Gold Award
Year: 2014	Grantee: Professor Lone Skov, Department of Dermato-Allergology, Gentofte Hospital	Amount: DKK 4,500,000	"Psoriasis is a chronic inflammatory skin condition with a prevalence of 2-3% in northern Europe. While considerable research exists on adults with psoriasis, there is little research on the condition in children. Identifying key factors associated with psoriasis in childhood may lead to more effective control and possibly even prevention of the condition.
The study aims to determine environmental and genetic risk factors relating to the development of psoriasis in children, the nature of stress related to the child and family, and quality of life. The project also aims to determine the link with risk factors of co-morbidity and the effect of early intensive treatment.
The study is led by Professor Lone Skov, Department of Dermato-Allergology, Gentofte Hospital, Denmark. The team will explore the following hypotheses:
Risk factors for early onset of psoriasis can be predicted
Early debut of psoriasis has a significant impact on quality of life and individual and family-related stress
Early intensive treatment leads to remission
There is already an increased risk of co-morbidity in children with psoriasis
Age at debut, risk factors and co-morbidity are related
to the genetic risk.
The study offers a unique possibility to access data from children with psoriasis shortly after diagnosis, which in turn can pave the way for new and improved tools for assessing the impact of the condition on quality of life in a well-controlled study design."	Grant category: Research Grants in open competition	Geography: Denmark	Psoriasis in children
Year: 2013	Grantee: Dr. Muzlifah Haniffa	Amount: DKK 500,000	"Presented to Muzlifah Haniffa, Wellcome Trust Clinical Intermediate Fellow in Dermatology at the Institute of Cellular Medicine, Newcastle University, UK.
Dr. Haniffa’s research focuses on dendritic cells; a type of white blood cells also present in the skin that are important in regulating immune responses against microorganisms, cancer and tolerance to self-proteins. Her research has the potential to lead to enhanced vaccination strategies against cancer, such as melanoma, and infections."	Grant category: LEO Foundation Awards	Geography: United Kingdom	The LEO Foundation Award 2013 – Silver Award
Year: 2013	Grantee: Dr. Onur Boyman	Amount: DKK 1,000,000	"Presented to Onur Boyman, Professor, Dr. med., Senior Consultant Physician and Head of Laboratory at the Department of Dermatology, University Hospital Zurich.
Professor Boyman’s research focuses on the function of T cell subsets and different cytokines in the pathogenesis of psoriasis and other immune-mediated diseases and the treatment of melanoma. His research shows great promise both as a potential treatment of autoimmune and inflammatory diseases and as a potential cancer therapy."	Grant category: LEO Foundation Awards	Geography: Switzerland	The LEO Foundation Award 2013 – Gold Award
Year: 2013	Grantee: Professor Martin Steinhoff, University of California San Francisco	Amount: USD 388,225	"Itch is probably the most common symptom in dermatology and it is associated with a significant impact on the patient’s life.
A team led by Professor Martin Steinhoff, University of California San Francisco, has set out to develop novel targeted therapies for chronic itch in humans.
Besides the lesional and non-lesional as compared to healthy skin, the project team will also identify critical itch mediators and/or receptors that are expressed (and activated) in human dorsal root ganglion (DRG) and spinal cord tissue. To address this, mediators will be identified as well as receptors associated with human itch, and thereby the team will be able to define “biomarkers” for the different pruritic human diseases.
The project will be the first-of-a-kind study to analyse the expression and distribution of key itch mediators and receptors in human skin, human DRG and human spinal cord, and will therefore provide a significant basis for future translational research that targets these mediators/receptors in the different subtypes of itch.
Moreover, it is the first time that it will be tested whether several new itch pathways that have been described in murine skin models are relevant, i.e. can be translated, in human disease state."	Grant category: Research Grants in open competition	Geography: USA	Identification and Characterization of Key Itch Mediators and Receptors in Human Pruitus
	Grantee: Associate Professor Kiarash Khosrotehrani, University of Queensland	Amount: AUD 268,239				The natural history of skin cancer formation: from normal skin to cancer
	Grantee: Associate Professor Kiarash Khosrotehrani, University of Queensland	Amount: AUD 415,386				Preventing Basal Cell Carcinoma formation by targeting the tumor environment
	Grantee: Mikkel Bohm, Young Scientists (Astra)	Amount: DKK 3,000,000				Young Scientists
	Grantee: Department of Pharmacy, University of Copenhagen	Amount: DKK 40,000,000				LEO Foundation Center for Cutaneous Drug Delivery
	Grantee: Dr. Christina Zielinski	Amount: DKK 500,000				The LEO Foundation Award 2014 – Silver Award
	Grantee: Dr. Kim B. Jensen	Amount: DKK 1,000,000				The LEO Foundation Award 2014 – Gold Award
	Grantee: Professor Lone Skov, Department of Dermato-Allergology, Gentofte Hospital	Amount: DKK 4,500,000				Psoriasis in children
	Grantee: Dr. Muzlifah Haniffa	Amount: DKK 500,000				The LEO Foundation Award 2013 – Silver Award
	Grantee: Dr. Onur Boyman	Amount: DKK 1,000,000				The LEO Foundation Award 2013 – Gold Award
	Grantee: Professor Martin Steinhoff, University of California San Francisco	Amount: USD 388,225				Identification and Characterization of Key Itch Mediators and Receptors in Human Pruitus
Year: 2015	Grantee: Associate Professor Kiarash Khosrotehrani, University of Queensland	Amount: AUD 268,239	"Associate Professor Kiarash Khosrotehrani from The University of Queensland leads a team that has hypothesized that upon UV irradiation and acquisitions of mutations, only epidermal cells that can rapidly proliferate are likely to give rise to pre-cancerous and cancerous lesions.
This hypothesis will be tested using multicolour lineage tracing to follow simultaneously multiple epidermal clones that will further be microdissected to establish their mutational profile.  This study has the potential to fundamentally change our understanding of field cancerisation, cell of origin of squamous cell cancer establishing potentially new therapeutic targets."	Grant category: Research Grants in open competition	Geography: Australia	The natural history of skin cancer formation: from normal skin to cancer
Year: 2015	Grantee: Associate Professor Kiarash Khosrotehrani, University of Queensland	Amount: AUD 415,386	"In this study, Associate Professor Kiarash Khosrotehrani of The University of Queensland in Australia proposes to better characterise the molecular nature of the factors provided by fibroblasts to support basal cell carcinoma (BCC) growth in vivo in order to find new targets for therapies that would prevent BCC development. He and his team will also show proof of principle demonstrating that targeting this process can actually prevent BCC development.
These findings have the potential to translate in effective prevention strategies, allowing field therapy of normal looking skin to avoid the development of new BCCs. Such finding will have strong health benefits in terms of morbidity associated with multiple surgeries, years of healthy life enjoyed by individuals and finally in terms of economic cost."	Grant category: Research Grants in open competition	Geography: Australia	Preventing Basal Cell Carcinoma formation by targeting the tumor environment
Year: 2015	Grantee: Mikkel Bohm, Young Scientists (Astra)	Amount: DKK 3,000,000	"The talent competition, Young Scientists, is developing talents in both kids and young people in science.
It is believed that science is a powerful tool to understand and change the world for the better. The competition’s aim is to contribute to society in a meaningful way by inspiring a new generation and giving them engaging experiences with science.
The LEO Foundation has found this work important and supports the competition over three years."	Grant category: Research Grants in open competition	Geography: Denmark	Young Scientists
Year: 2015	Grantee: Department of Pharmacy, University of Copenhagen	Amount: DKK 40,000,000	"Understanding how drugs interact with skin has long been a challenge within pharmaceutical research. Now, a new center at the Department of Pharmacy, UCPH, is set to become an international lighthouse in this research area, supported by a DKK 40 million grant from the LEO Foundation.
The LEO Foundation Center for Cutaneous Drug Delivery will form the basis of new research on skin and drugs. Behind the project is the Department of Pharmacy at the University of Copenhagen, where the center will also be located. The Director of the new center, Martin Malmsten, was formerly Head of Research at Uppsala University.
“I hope to contribute with my experience and thus help motivate and inspire colleagues and employees, enabling us to provide the best possible results. At the same time, I look forward to becoming part of the University of Copenhagen, where they have been very willing to prioritize strategic focus areas. The new center offers great and long-term opportunities for making an impact on international research and I’m happy to be part of this initiative, which will lift research in a very exciting area,” said Martin Malmsten.
The LEO Foundation Center for Cutaneous Drug Delivery will conduct research on what happens in and on the skin when we apply drugs. There will be a particular focus on the physical-chemical aspects of the interaction between skin and drugs, which is important to the development of new drugs. This will hopefully help optimize the drug properties and allow for maximum utilization while simultaneously minimizing side effects.
“Our new center meets a huge demand for understanding how drugs interact with skin. With a strong team of highly qualified researchers, we will set new standards for research in the field of dermatology and I’m both proud and grateful that this grant from the LEO Foundation has helped us attract new and strong forces to UCPH. This new strategic effort will benefit patients as well as society in general,” said Dean Ulla Wewer from the Department of Health and Medical Sciences at the University of Copenhagen.
Generating new knowledge while also providing a space for innovative research methods and new analytical technologies is what the center aims for. The LEO Foundation has backed the center with a grant of DKK 40 million over the next ten years, which in itself is quite remarkable.
“We’re very happy to support this important initiative and the grant of DKK 40 million over the next ten years is the single largest grant the foundation has ever awarded. What’s more important, however, is the fact that we are quite convinced that the center with its strong team of researchers has the potential to become a global powerhouse in terms of research on the dynamic interaction between drugs and skin,” said Lars Olsen, Chairman of the LEO Foundation."	Grant category: Standalone grants	Geography: Denmark	LEO Foundation Center for Cutaneous Drug Delivery
Year: 2014	Grantee: Dr. Christina Zielinski	Amount: DKK 500,000	"Presented to Dr. med. Christina Zielinski, research group leader and dermatological fellow, Department of Dermatology and Allergology and Berlin-Brandenburg Center for Regenerative Therapies, Charité University Medicine, Berlin.
Dr. Zielinski’s research focuses on how the body’s immune system protects itself from microbial assault by distinguishing between the body’s own cells and foreign organisms. It examines what happens when the body does not regulate itself in this way and how this affects the development of autoimmune diseases such as psoriasis and multiple sclerosis. Insights gained from these studies are expected to identify molecular cues that can be exploited in order to develop immune modulation therapies."	Grant category: LEO Foundation Awards	Geography: Germany	The LEO Foundation Award 2014 – Silver Award
Year: 2014	Grantee: Dr. Kim B. Jensen	Amount: DKK 1,000,000	"Presented to Ph.D. Kim B. Jensen, associate professor at the Biotech Research and Innovation Centre at the University of Copenhagen.
Dr. Jensen’s research focuses on how the epidermis, the outer layer of the skin, is constantly renewed throughout life in an organised manner by epidermal stem cells. Epidermal stem cells need to be carefully controlled as any imbalance is likely to have devastating consequences. Too little contribution from the stem cells can lead to bleeding ulcers, whereas too much contribution can lead to skin cancer. By examining how stem cells are regulated in the epidermis, Jensen hopes to gain insights into mechanisms responsible for disease development and identify new drugable pathways."	Grant category: LEO Foundation Awards	Geography: Denmark	The LEO Foundation Award 2014 – Gold Award
Year: 2014	Grantee: Professor Lone Skov, Department of Dermato-Allergology, Gentofte Hospital	Amount: DKK 4,500,000	"Psoriasis is a chronic inflammatory skin condition with a prevalence of 2-3% in northern Europe. While considerable research exists on adults with psoriasis, there is little research on the condition in children. Identifying key factors associated with psoriasis in childhood may lead to more effective control and possibly even prevention of the condition.
The study aims to determine environmental and genetic risk factors relating to the development of psoriasis in children, the nature of stress related to the child and family, and quality of life. The project also aims to determine the link with risk factors of co-morbidity and the effect of early intensive treatment.
The study is led by Professor Lone Skov, Department of Dermato-Allergology, Gentofte Hospital, Denmark. The team will explore the following hypotheses:
Risk factors for early onset of psoriasis can be predicted
Early debut of psoriasis has a significant impact on quality of life and individual and family-related stress
Early intensive treatment leads to remission
There is already an increased risk of co-morbidity in children with psoriasis
Age at debut, risk factors and co-morbidity are related
to the genetic risk.
The study offers a unique possibility to access data from children with psoriasis shortly after diagnosis, which in turn can pave the way for new and improved tools for assessing the impact of the condition on quality of life in a well-controlled study design."	Grant category: Research Grants in open competition	Geography: Denmark	Psoriasis in children
Year: 2013	Grantee: Dr. Muzlifah Haniffa	Amount: DKK 500,000	"Presented to Muzlifah Haniffa, Wellcome Trust Clinical Intermediate Fellow in Dermatology at the Institute of Cellular Medicine, Newcastle University, UK.
Dr. Haniffa’s research focuses on dendritic cells; a type of white blood cells also present in the skin that are important in regulating immune responses against microorganisms, cancer and tolerance to self-proteins. Her research has the potential to lead to enhanced vaccination strategies against cancer, such as melanoma, and infections."	Grant category: LEO Foundation Awards	Geography: United Kingdom	The LEO Foundation Award 2013 – Silver Award
Year: 2013	Grantee: Dr. Onur Boyman	Amount: DKK 1,000,000	"Presented to Onur Boyman, Professor, Dr. med., Senior Consultant Physician and Head of Laboratory at the Department of Dermatology, University Hospital Zurich.
Professor Boyman’s research focuses on the function of T cell subsets and different cytokines in the pathogenesis of psoriasis and other immune-mediated diseases and the treatment of melanoma. His research shows great promise both as a potential treatment of autoimmune and inflammatory diseases and as a potential cancer therapy."	Grant category: LEO Foundation Awards	Geography: Switzerland	The LEO Foundation Award 2013 – Gold Award
Year: 2013	Grantee: Professor Martin Steinhoff, University of California San Francisco	Amount: USD 388,225	"Itch is probably the most common symptom in dermatology and it is associated with a significant impact on the patient’s life.
A team led by Professor Martin Steinhoff, University of California San Francisco, has set out to develop novel targeted therapies for chronic itch in humans.
Besides the lesional and non-lesional as compared to healthy skin, the project team will also identify critical itch mediators and/or receptors that are expressed (and activated) in human dorsal root ganglion (DRG) and spinal cord tissue. To address this, mediators will be identified as well as receptors associated with human itch, and thereby the team will be able to define “biomarkers” for the different pruritic human diseases.
The project will be the first-of-a-kind study to analyse the expression and distribution of key itch mediators and receptors in human skin, human DRG and human spinal cord, and will therefore provide a significant basis for future translational research that targets these mediators/receptors in the different subtypes of itch.
Moreover, it is the first time that it will be tested whether several new itch pathways that have been described in murine skin models are relevant, i.e. can be translated, in human disease state."	Grant category: Research Grants in open competition	Geography: USA	Identification and Characterization of Key Itch Mediators and Receptors in Human Pruitus
	Grantee: Associate Professor Kiarash Khosrotehrani, University of Queensland	Amount: AUD 268,239				The natural history of skin cancer formation: from normal skin to cancer
	Grantee: Associate Professor Kiarash Khosrotehrani, University of Queensland	Amount: AUD 415,386				Preventing Basal Cell Carcinoma formation by targeting the tumor environment
	Grantee: Mikkel Bohm, Young Scientists (Astra)	Amount: DKK 3,000,000				Young Scientists
	Grantee: Department of Pharmacy, University of Copenhagen	Amount: DKK 40,000,000				LEO Foundation Center for Cutaneous Drug Delivery
	Grantee: Dr. Christina Zielinski	Amount: DKK 500,000				The LEO Foundation Award 2014 – Silver Award
	Grantee: Dr. Kim B. Jensen	Amount: DKK 1,000,000				The LEO Foundation Award 2014 – Gold Award
	Grantee: Professor Lone Skov, Department of Dermato-Allergology, Gentofte Hospital	Amount: DKK 4,500,000				Psoriasis in children
	Grantee: Dr. Muzlifah Haniffa	Amount: DKK 500,000				The LEO Foundation Award 2013 – Silver Award
	Grantee: Dr. Onur Boyman	Amount: DKK 1,000,000				The LEO Foundation Award 2013 – Gold Award
	Grantee: Professor Martin Steinhoff, University of California San Francisco	Amount: USD 388,225				Identification and Characterization of Key Itch Mediators and Receptors in Human Pruitus
Year: 2015	Grantee: Associate Professor Kiarash Khosrotehrani, University of Queensland	Amount: AUD 268,239	"Associate Professor Kiarash Khosrotehrani from The University of Queensland leads a team that has hypothesized that upon UV irradiation and acquisitions of mutations, only epidermal cells that can rapidly proliferate are likely to give rise to pre-cancerous and cancerous lesions.
This hypothesis will be tested using multicolour lineage tracing to follow simultaneously multiple epidermal clones that will further be microdissected to establish their mutational profile.  This study has the potential to fundamentally change our understanding of field cancerisation, cell of origin of squamous cell cancer establishing potentially new therapeutic targets."	Grant category: Research Grants in open competition	Geography: Australia	The natural history of skin cancer formation: from normal skin to cancer
Year: 2015	Grantee: Associate Professor Kiarash Khosrotehrani, University of Queensland	Amount: AUD 415,386	"In this study, Associate Professor Kiarash Khosrotehrani of The University of Queensland in Australia proposes to better characterise the molecular nature of the factors provided by fibroblasts to support basal cell carcinoma (BCC) growth in vivo in order to find new targets for therapies that would prevent BCC development. He and his team will also show proof of principle demonstrating that targeting this process can actually prevent BCC development.
These findings have the potential to translate in effective prevention strategies, allowing field therapy of normal looking skin to avoid the development of new BCCs. Such finding will have strong health benefits in terms of morbidity associated with multiple surgeries, years of healthy life enjoyed by individuals and finally in terms of economic cost."	Grant category: Research Grants in open competition	Geography: Australia	Preventing Basal Cell Carcinoma formation by targeting the tumor environment
Year: 2015	Grantee: Mikkel Bohm, Young Scientists (Astra)	Amount: DKK 3,000,000	"The talent competition, Young Scientists, is developing talents in both kids and young people in science.
It is believed that science is a powerful tool to understand and change the world for the better. The competition’s aim is to contribute to society in a meaningful way by inspiring a new generation and giving them engaging experiences with science.
The LEO Foundation has found this work important and supports the competition over three years."	Grant category: Research Grants in open competition	Geography: Denmark	Young Scientists
Year: 2015	Grantee: Department of Pharmacy, University of Copenhagen	Amount: DKK 40,000,000	"Understanding how drugs interact with skin has long been a challenge within pharmaceutical research. Now, a new center at the Department of Pharmacy, UCPH, is set to become an international lighthouse in this research area, supported by a DKK 40 million grant from the LEO Foundation.
The LEO Foundation Center for Cutaneous Drug Delivery will form the basis of new research on skin and drugs. Behind the project is the Department of Pharmacy at the University of Copenhagen, where the center will also be located. The Director of the new center, Martin Malmsten, was formerly Head of Research at Uppsala University.
“I hope to contribute with my experience and thus help motivate and inspire colleagues and employees, enabling us to provide the best possible results. At the same time, I look forward to becoming part of the University of Copenhagen, where they have been very willing to prioritize strategic focus areas. The new center offers great and long-term opportunities for making an impact on international research and I’m happy to be part of this initiative, which will lift research in a very exciting area,” said Martin Malmsten.
The LEO Foundation Center for Cutaneous Drug Delivery will conduct research on what happens in and on the skin when we apply drugs. There will be a particular focus on the physical-chemical aspects of the interaction between skin and drugs, which is important to the development of new drugs. This will hopefully help optimize the drug properties and allow for maximum utilization while simultaneously minimizing side effects.
“Our new center meets a huge demand for understanding how drugs interact with skin. With a strong team of highly qualified researchers, we will set new standards for research in the field of dermatology and I’m both proud and grateful that this grant from the LEO Foundation has helped us attract new and strong forces to UCPH. This new strategic effort will benefit patients as well as society in general,” said Dean Ulla Wewer from the Department of Health and Medical Sciences at the University of Copenhagen.
Generating new knowledge while also providing a space for innovative research methods and new analytical technologies is what the center aims for. The LEO Foundation has backed the center with a grant of DKK 40 million over the next ten years, which in itself is quite remarkable.
“We’re very happy to support this important initiative and the grant of DKK 40 million over the next ten years is the single largest grant the foundation has ever awarded. What’s more important, however, is the fact that we are quite convinced that the center with its strong team of researchers has the potential to become a global powerhouse in terms of research on the dynamic interaction between drugs and skin,” said Lars Olsen, Chairman of the LEO Foundation."	Grant category: Standalone grants	Geography: Denmark	LEO Foundation Center for Cutaneous Drug Delivery
Year: 2014	Grantee: Dr. Christina Zielinski	Amount: DKK 500,000	"Presented to Dr. med. Christina Zielinski, research group leader and dermatological fellow, Department of Dermatology and Allergology and Berlin-Brandenburg Center for Regenerative Therapies, Charité University Medicine, Berlin.
Dr. Zielinski’s research focuses on how the body’s immune system protects itself from microbial assault by distinguishing between the body’s own cells and foreign organisms. It examines what happens when the body does not regulate itself in this way and how this affects the development of autoimmune diseases such as psoriasis and multiple sclerosis. Insights gained from these studies are expected to identify molecular cues that can be exploited in order to develop immune modulation therapies."	Grant category: LEO Foundation Awards	Geography: Germany	The LEO Foundation Award 2014 – Silver Award
Year: 2014	Grantee: Dr. Kim B. Jensen	Amount: DKK 1,000,000	"Presented to Ph.D. Kim B. Jensen, associate professor at the Biotech Research and Innovation Centre at the University of Copenhagen.
Dr. Jensen’s research focuses on how the epidermis, the outer layer of the skin, is constantly renewed throughout life in an organised manner by epidermal stem cells. Epidermal stem cells need to be carefully controlled as any imbalance is likely to have devastating consequences. Too little contribution from the stem cells can lead to bleeding ulcers, whereas too much contribution can lead to skin cancer. By examining how stem cells are regulated in the epidermis, Jensen hopes to gain insights into mechanisms responsible for disease development and identify new drugable pathways."	Grant category: LEO Foundation Awards	Geography: Denmark	The LEO Foundation Award 2014 – Gold Award
Year: 2014	Grantee: Professor Lone Skov, Department of Dermato-Allergology, Gentofte Hospital	Amount: DKK 4,500,000	"Psoriasis is a chronic inflammatory skin condition with a prevalence of 2-3% in northern Europe. While considerable research exists on adults with psoriasis, there is little research on the condition in children. Identifying key factors associated with psoriasis in childhood may lead to more effective control and possibly even prevention of the condition.
The study aims to determine environmental and genetic risk factors relating to the development of psoriasis in children, the nature of stress related to the child and family, and quality of life. The project also aims to determine the link with risk factors of co-morbidity and the effect of early intensive treatment.
The study is led by Professor Lone Skov, Department of Dermato-Allergology, Gentofte Hospital, Denmark. The team will explore the following hypotheses:
Risk factors for early onset of psoriasis can be predicted
Early debut of psoriasis has a significant impact on quality of life and individual and family-related stress
Early intensive treatment leads to remission
There is already an increased risk of co-morbidity in children with psoriasis
Age at debut, risk factors and co-morbidity are related
to the genetic risk.
The study offers a unique possibility to access data from children with psoriasis shortly after diagnosis, which in turn can pave the way for new and improved tools for assessing the impact of the condition on quality of life in a well-controlled study design."	Grant category: Research Grants in open competition	Geography: Denmark	Psoriasis in children
Year: 2013	Grantee: Dr. Muzlifah Haniffa	Amount: DKK 500,000	"Presented to Muzlifah Haniffa, Wellcome Trust Clinical Intermediate Fellow in Dermatology at the Institute of Cellular Medicine, Newcastle University, UK.
Dr. Haniffa’s research focuses on dendritic cells; a type of white blood cells also present in the skin that are important in regulating immune responses against microorganisms, cancer and tolerance to self-proteins. Her research has the potential to lead to enhanced vaccination strategies against cancer, such as melanoma, and infections."	Grant category: LEO Foundation Awards	Geography: United Kingdom	The LEO Foundation Award 2013 – Silver Award
Year: 2013	Grantee: Dr. Onur Boyman	Amount: DKK 1,000,000	"Presented to Onur Boyman, Professor, Dr. med., Senior Consultant Physician and Head of Laboratory at the Department of Dermatology, University Hospital Zurich.
Professor Boyman’s research focuses on the function of T cell subsets and different cytokines in the pathogenesis of psoriasis and other immune-mediated diseases and the treatment of melanoma. His research shows great promise both as a potential treatment of autoimmune and inflammatory diseases and as a potential cancer therapy."	Grant category: LEO Foundation Awards	Geography: Switzerland	The LEO Foundation Award 2013 – Gold Award
Year: 2013	Grantee: Professor Martin Steinhoff, University of California San Francisco	Amount: USD 388,225	"Itch is probably the most common symptom in dermatology and it is associated with a significant impact on the patient’s life.
A team led by Professor Martin Steinhoff, University of California San Francisco, has set out to develop novel targeted therapies for chronic itch in humans.
Besides the lesional and non-lesional as compared to healthy skin, the project team will also identify critical itch mediators and/or receptors that are expressed (and activated) in human dorsal root ganglion (DRG) and spinal cord tissue. To address this, mediators will be identified as well as receptors associated with human itch, and thereby the team will be able to define “biomarkers” for the different pruritic human diseases.
The project will be the first-of-a-kind study to analyse the expression and distribution of key itch mediators and receptors in human skin, human DRG and human spinal cord, and will therefore provide a significant basis for future translational research that targets these mediators/receptors in the different subtypes of itch.
Moreover, it is the first time that it will be tested whether several new itch pathways that have been described in murine skin models are relevant, i.e. can be translated, in human disease state."	Grant category: Research Grants in open competition	Geography: USA	Identification and Characterization of Key Itch Mediators and Receptors in Human Pruitus
Year: 2013	Grantee: Professor Lieve Brochez, University of Ghent	Amount: EUR 330,000	"Skin cancer is currently the most frequent type of cancer. At present, life-time risk is estimated at one in six and, with an ageing population, this is expected to increase even more. It is assumed that early detection allows better cure rates and more cost-effective treatment, and skin cancer thus seems suitable for screening initiatives. However, questions remain about the cost–benefit ratio.
This study is led by Professor Lieve Brochez of the University of Ghent, Belgium. It aims to calculate the actual cost of skin cancer in Belgium, the expected cost with an ageing population and how much early detection of skin cancer could affect these costs.
The team will use the results to develop an internationally applicable health-economic model. The model will allow other European countries to use local data, enabling data to be compared across Europe.
Secondly, the study will evaluate a new skin cancer screening approach to compare the yield of this type of screening to the yield of systematic screening in an asymptomatic population within a well-defined population.
Quality of life will be assessed for all screened persons with skin cancer and/or actinic keratosis in order to generate patient-centric data to evaluate the burden of skin cancer."	Grant category: Research Grants in open competition	Geography: Belgium	Care for chronic skin diseases with a patient-centric approach
Year: 2013	Grantee: Professor Dr Eckhard W. Breitbart &amp; Dr Rüdiger Greinert from the Association of Dermatological Prevention, Hamburg, and the Centre of Dermatology, Buxtehude	Amount: EUR 822,880	"The Skin Cancer Screening Education Study (SCSES) is an interventional study in Canada to evaluate training of primary-care physicians in skin cancer screening (SCS) with regard to screening outcomes for melanoma and non-melanoma skin cancer.
The study, led by Professor Dr Eckhard W. Breitbart and Dr Rüdiger Greinert from the Association of Dermatological Prevention, Hamburg, and the Centre of Dermatology, Buxtehude, both in Germany, will compare screening outcomes for an intervention region with SCS training to screening outcomes for a control region with no training.
The SCS training is based on the German SCS training, which forms part of the German skin cancer screening programme. The results of the SCREEN project, which was led by Dr Breitbart, provide the strongest scientific evidence to date that population-based skin cancer screening can be effective. This new study will evaluate clinical and epidemiological screening outcomes as well as educational outcomes. Data on potential risks associated with skin cancer screening will also be obtained.
Study results will be published in international publications and presented to the scientific community, public health experts and policymakers at European and international conferences, at roundtables of the European Parliament and national parliaments, and in health committees in the study countries, which include Canada."	Grant category: Research Grants in open competition	Geography: Germany	Skin Cancer Screening Education Study
Year: 2013	Grantee: Dr. Emma Guttman, MD, PhD, Associate Professor of Dermatology, Director Laboratory for Inflammatory Skin Diseases, Icahn School of Medicine, Mount Sinai, New York	Amount: USD 1,046,400	"Despite considerable impact on quality of life, atopic dermatitis, or eczema, has not been studied extensively in children although as many as one in five experience the condition. Atopic dermatitis, or eczema, is a chronic skin condition, characterised by itching and inflammation, and frequently occurs in people who have other allergic conditions, such as asthma and hay fever.
Dr. Guttman has set out to define the skin and blood biomarkers of atopic dermatitis in children. She and her team will investigate how skin biomarkers compare to disease activity, epidermal barrier function and known biomarkers in adults with atopic dermatitis. They will also investigate whether blood biomarkers could offer a less invasive way to monitor skin changes than a skin biopsy, which can be difficult to perform in children.
With better knowledge of what causes atopic dermatitis in children, the researchers hope to develop more targeted therapies for the disorder as well as for other atopic conditions, such as asthma and hay fever. Together, these three disorders form an “atopic triad”.
Publications:
Early pediatric atopic dermatitis shows only a cutaneous lymphocyte antigen (CLA)+ TH2/TH1 cell imbalance, whereas adults acquire CLA+ TH22/TC22 cell subsets
J Allergy Clin Immunol. 2015 Oct; 136(4): 941–951.e3.
Early-Onset Pediatric Atopic Dermatitis Is TH2 but Also TH17 Polarized in Skin
J Allergy Clin Immunol 138 (6), 1639-1651. 2016 Sep 23.
Alterations in B-cell subsets in pediatric patients with early atopic dermatitis
J Allergy Clin Immunol. 2016 Dec 10 pii: S0091-6749(16)31452-X
Accelerated T-cell activation and differentiation of polar subsets characterizes early atopic dermatitis development
J Allergy Clin Immunol. 2016 Nov;138(5):1473-1477.e5
An IL-17-dominant immune profile is shared across the major orphan forms of ichthyosis.
J Allergy Clin Immunol. 2017 Jan;139(1):152-165"	Grant category: Research Grants in open competition	Geography: USA	Defining the skin and blood biomarkers of pediatric atopic dermatitis
Year: 2012	Grantee: Dr. Andrea Chiricozzi	Amount: DKK 500,000	"Presented to skin immunology specialist Dr. Andrea Chiricozzi at the Department of Dermatology, University of Rome Tor Vergata, Italy.
Chiricozzi’s research focuses on chronic skin inflammation and the pathogenic circuits underlying the formation of skin lesions, particularly in regard to psoriasis and atopic dermatitis. The award will support Chiricozzi’s on-going research into the pathogenic mechanisms in skin disorders and novel therapeutic strategies."	Grant category: LEO Foundation Awards	Geography: Italy	The LEO Foundation Award 2012 – Silver Award
Year: 2012	Grantee: David Schrama	Amount: DKK 1,000,000	"Presented to Assistant Professor David Schrama at the Dermatology Department at Graz Medical University, Austria.
Schrama’s research focuses on melanoma biology. His research team currently analyses the impact of genetic diversity among patients and tumours on prognosis and clinical outcome of therapies. In recent years, Schrama’s scientific work has focused on unravelling the biology of another skin cancer; the polyomavirus associated merkel cell carcinoma."	Grant category: LEO Foundation Awards	Geography: Austria	The LEO Foundation Award 2012 – Gold Award
